module,declaration,path,line,android,desktop
cupertino-adaptive,val AdaptiveIcons.Outlined.MoreVert,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,321,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Notifications,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,327,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Person,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,333,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Phone,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,339,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Place,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,345,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.PlayArrow,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,351,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Refresh,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,357,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Search,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,363,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Send,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,369,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Settings,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,375,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Share,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,381,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.ShoppingCart,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,387,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Star,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,393,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.ThumbUp,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,399,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Warning,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,405,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Airtag: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Airtag.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Alarm: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Alarm.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Appletv: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Appletv.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Archivebox: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Archivebox.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowClockwiseCircle: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowClockwiseCircle.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowCounterclockwiseCircle: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowCounterclockwiseCircle.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowCounterclockwiseIcloud: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowCounterclockwiseIcloud.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowDownCircle: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowDownCircle.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowDownDoc: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowDownDoc.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowTriangle2CirclepathCamera: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowTriangle2CirclepathCamera.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowTriangle2CirclepathCircle: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowTriangle2CirclepathCircle.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowTurnUpForwardIphone: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowTurnUpForwardIphone.kt,34,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowUpDoc: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowUpDoc.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowshapeTurnUpLeft: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowshapeTurnUpLeft.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.ArrowshapeTurnUpLeft2: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/ArrowshapeTurnUpLeft2.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Backward: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Backward.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.BackwardEnd: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/BackwardEnd.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Bag: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Bag.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.BagBadgeMinus: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/BagBadgeMinus.kt,34,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.BagBadgePlus: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/BagBadgePlus.kt,34,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Balloon: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Balloon.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Bandage: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Bandage.kt,31,common source,common source
cupertino-icons-extended,public val CupertinoIcons.Filled.Banknote: ImageVector,cupertino-icons-extended/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/filled/Banknote.kt,34,common source,common source
